game_id,season,week,home_team,away_team,result,spread_line,H_points_scored_avg,H_points_allowed_avg,H_total_yards_avg,H_total_yards_allowed_avg,H_rush_yards_avg,H_rush_yards_allowed_avg,H_pass_yards_avg,H_pass_yards_allowed_avg,H_turnovers_taken_avg,H_turnovers_lost_avg,H_points_scored_streak,H_points_allowed_streak,H_total_yards_streak,H_total_yards_allowed_streak,H_rush_yards_streak,H_rush_yards_allowed_streak,H_pass_yards_streak,H_pass_yards_allowed_streak,H_turnovers_taken_streak,H_turnovers_lost_streak,H_win_pct,H_win_pct_streak,H_computed_strength,A_points_scored_avg,A_points_allowed_avg,A_total_yards_avg,A_total_yards_allowed_avg,A_rush_yards_avg,A_rush_yards_allowed_avg,A_pass_yards_avg,A_pass_yards_allowed_avg,A_turnovers_taken_avg,A_turnovers_lost_avg,A_points_scored_streak,A_points_allowed_streak,A_total_yards_streak,A_total_yards_allowed_streak,A_rush_yards_streak,A_rush_yards_allowed_streak,A_pass_yards_streak,A_pass_yards_allowed_streak,A_turnovers_taken_streak,A_turnovers_lost_streak,A_win_pct,A_win_pct_streak,A_computed_strength
2015_06_CHI_DET,2015,6,DET,CHI,3,3.5,16.6,27.6,321.2,375.4,48.8,126.6,279.2,267.6,1.6,3.0,13.75,26.25,326.0,348.5,43.75,134.25,287.5,233.75,1.25,3.25,0.0,0.0,0.020090589595860332,17.2,28.4,316.4,304.6,116.2,118.8,212.4,197.2,0.6,1.4,15.75,27.75,295.0,300.25,98.0,115.25,209.25,199.25,0.75,1.5,0.4,0.5,0.026837375301978723
2015_06_NE_IND,2015,6,IND,NE,-7,-8.0,19.8,22.6,335.2,398.8,92.0,112.0,249.6,293.2,1.0,2.2,21.25,21.5,342.5,413.0,99.0,103.25,251.25,317.75,1.25,2.25,0.6,0.75,0.02084596002509389,37.25,19.0,423.75,343.25,92.5,113.25,346.75,255.5,1.75,0.5,37.25,19.0,423.75,343.25,92.5,113.25,346.75,255.5,1.75,0.5,1.0,1.0,0.0402644182247059
2015_06_HOU_JAX,2015,6,JAX,HOU,-11,2.5,18.6,29.0,342.0,363.4,94.6,103.0,259.8,276.6,0.6,1.2,21.0,31.25,361.25,388.5,94.25,102.5,279.0,302.0,0.5,0.75,0.2,0.25,0.016304451326764294,19.4,27.0,396.6,339.8,96.2,114.2,310.0,233.6,0.4,2.0,19.25,27.0,396.25,342.25,95.75,118.5,304.0,231.25,0.5,2.0,0.2,0.25,0.021026397075126557
2015_06_KC_MIN,2015,6,MIN,KC,6,3.5,20.0,18.25,301.75,357.75,136.5,125.5,193.5,243.25,1.75,1.0,20.0,18.25,301.75,357.75,136.5,125.5,193.5,243.25,1.75,1.0,0.5,0.5,0.02458847929695178,23.4,28.6,344.0,384.0,109.8,98.6,258.2,299.2,0.8,1.2,22.5,30.75,347.5,380.5,113.0,98.75,262.0,290.5,0.5,1.5,0.2,0.0,0.029795524299806975
2015_06_ATL_NO,2015,6,NO,ATL,10,-3.0,20.6,28.6,387.4,409.0,85.4,135.8,322.8,281.6,1.0,2.0,21.0,28.0,382.25,404.5,93.25,139.75,314.75,275.25,1.0,2.25,0.2,0.25,0.02456638765515984,32.4,22.4,406.6,366.4,126.0,78.4,291.2,292.2,2.0,1.0,34.0,22.0,409.5,358.25,131.25,82.25,289.5,281.25,2.0,0.75,1.0,1.0,0.0511102624638651
2015_06_WAS_NYJ,2015,6,NYJ,WAS,14,7.5,23.75,13.75,356.25,280.25,127.25,94.75,231.0,199.25,3.0,2.0,23.75,13.75,356.25,280.25,127.25,94.75,231.0,199.25,3.0,2.0,0.75,0.75,0.029037869357030496,19.4,20.8,360.8,314.0,121.8,97.6,244.8,235.8,1.2,1.8,21.75,21.75,363.75,328.5,112.0,103.5,257.0,238.25,1.25,1.75,0.4,0.5,0.03604279643808156
2015_06_NYG_PHI,2015,6,PHI,NYG,20,3.5,23.4,20.6,339.0,376.4,93.2,96.8,256.2,294.8,2.6,2.0,23.25,19.25,324.0,371.75,100.75,94.75,236.25,294.0,2.75,2.0,0.4,0.5,0.03617733427447879,26.4,21.8,373.2,385.2,91.2,80.6,282.6,314.2,1.6,0.6,26.5,20.5,395.25,372.5,89.25,80.75,306.0,303.75,1.25,0.75,0.6,0.75,0.04302768098133286
2015_06_ARI_PIT,2015,6,PIT,ARI,12,-5.5,24.0,19.0,358.8,358.4,120.4,101.0,255.4,274.2,1.2,0.6,24.75,16.75,332.0,357.75,117.0,106.25,231.5,270.75,1.5,0.5,0.6,0.75,0.03874294676256803,38.0,18.0,393.0,332.4,134.8,97.2,265.2,242.6,2.6,1.0,39.75,17.75,384.5,313.5,138.5,108.0,254.75,214.5,3.0,1.0,0.8,0.75,0.04005665487152354
2015_06_CAR_SEA,2015,6,SEA,CAR,-4,7.0,22.2,19.6,356.4,307.2,142.4,92.6,238.4,228.6,1.4,1.2,20.0,16.0,359.25,296.0,147.0,96.75,235.25,211.5,1.0,1.25,0.4,0.5,0.03733077981798744,27.0,17.75,322.0,339.0,132.25,92.0,202.25,256.0,2.75,0.75,27.0,17.75,322.0,339.0,132.25,92.0,202.25,256.0,2.75,0.75,1.0,1.0,0.02537121319044006
2015_06_BAL_SF,2015,6,SF,BAL,5,-2.5,15.0,28.0,307.6,407.6,129.0,108.0,197.8,315.2,0.6,1.2,13.75,34.25,285.75,447.5,103.75,117.25,206.0,336.25,0.5,1.5,0.2,0.0,0.024041552379991133,24.6,27.4,359.4,379.0,118.0,100.4,251.8,298.0,0.8,1.4,27.5,29.5,406.0,419.0,129.25,108.25,285.5,328.75,0.75,1.25,0.2,0.25,0.03406179975438558
